"id";"bezeichnung";"id_short"
"01001";"Flensburg, Stadt";"001"
"01002";"Kiel, Landeshauptstadt";"002"
"01003";"Lübeck, Stadt";"003"
"01004";"Neumünster, Stadt";"004"
"01051";"Dithmarschen";"051"
"01053";"Herzogtum Lauenburg";"053"
"01054";"Nordfriesland";"054"
"01055";"Ostholstein";"055"
"01056";"Pinneberg";"056"
"01057";"Plön";"057"
"01058";"Rendsburg-Eckernförde";"058"
"01059";"Schleswig-Flensburg";"059"
"01060";"Segeberg";"060"
"01061";"Steinburg";"061"
"01062";"Stormarn";"062"
"02000";"Hamburg";"000"
"03101";"Braunschweig, Stadt";"101"
"03102";"Salzgitter, Stadt";"102"
"03103";"Wolfsburg, Stadt";"103"
"03151";"Gifhorn";"151"
"03153";"Goslar";"153"
"03154";"Helmstedt";"154"
"03155";"Northeim";"155"
"03157";"Peine";"157"
"03158";"Wolfenbüttel";"158"
"03159";"Göttingen";"159"
"03241";"Hannover, Region";"241"
"03251";"Diepholz";"251"
"03252";"Hameln-Pyrmont";"252"
"03254";"Hildesheim";"254"
"03255";"Holzminden";"255"
"03256";"Nienburg (Weser)";"256"
"03257";"Schaumburg";"257"
"03351";"Celle";"351"
"03352";"Cuxhaven";"352"
"03353";"Harburg";"353"
"03354";"Lüchow-Dannenberg";"354"
"03355";"Lüneburg";"355"
"03356";"Osterholz";"356"
"03357";"Rotenburg (Wümme)";"357"
"03358";"Heidekreis";"358"
"03359";"Stade";"359"
"03360";"Uelzen";"360"
"03361";"Verden";"361"
"03401";"Delmenhorst, Stadt";"401"
"03402";"Emden, Stadt";"402"
"03403";"Oldenburg (Oldenburg), Stadt";"403"
"03404";"Osnabrück, Stadt";"404"
"03405";"Wilhelmshaven, Stadt";"405"
"03451";"Ammerland";"451"
"03452";"Aurich";"452"
"03453";"Cloppenburg";"453"
"03454";"Emsland";"454"
"03455";"Friesland";"455"
"03456";"Grafschaft Bentheim";"456"
"03457";"Leer";"457"
"03458";"Oldenburg (Oldenburg)";"458"
"03459";"Osnabrück";"459"
"03460";"Vechta";"460"
"03461";"Wesermarsch";"461"
"03462";"Wittmund";"462"
"04011";"Bremen, Stadt";"011"
"04012";"Bremerhaven, Stadt";"012"
"05111";"Düsseldorf, Landeshauptstadt";"111"
"05112";"Duisburg, Stadt";"112"
"05113";"Essen, Stadt";"113"
"05114";"Krefeld, Stadt";"114"
"05116";"Mönchengladbach, Stadt";"116"
"05117";"Mülheim a.d. Ruhr, Stadt";"117"
"05119";"Oberhausen, Stadt";"119"
"05120";"Remscheid, Stadt";"120"
"05122";"Solingen, Stadt";"122"
"05124";"Wuppertal, Stadt";"124"
"05154";"Kleve";"154"
"05158";"Mettmann";"158"
"05162";"Rhein-Kreis Neuss";"162"
"05166";"Viersen";"166"
"05170";"Wesel";"170"
"05314";"Bonn, Stadt";"314"
"05315";"Köln, Stadt";"315"
"05316";"Leverkusen, Stadt";"316"
"05334";"Aachen, Städteregion";"334"
"05358";"Düren";"358"
"05362";"Rhein-Erft-Kreis";"362"
"05366";"Euskirchen";"366"
"05370";"Heinsberg";"370"
"05374";"Oberbergischer Kreis";"374"
"05378";"Rheinisch-Bergischer Kreis";"378"
"05382";"Rhein-Sieg-Kreis";"382"
"05512";"Bottrop, Stadt";"512"
"05513";"Gelsenkirchen, Stadt";"513"
"05515";"Münster, Stadt";"515"
"05554";"Borken";"554"
"05558";"Coesfeld";"558"
"05562";"Recklinghausen";"562"
"05566";"Steinfurt";"566"
"05570";"Warendorf";"570"
"05711";"Bielefeld, Stadt";"711"
"05754";"Gütersloh";"754"
"05758";"Herford";"758"
"05762";"Höxter";"762"
"05766";"Lippe";"766"
"05770";"Minden-Lübbecke";"770"
"05774";"Paderborn";"774"
"05911";"Bochum, Stadt";"911"
"05913";"Dortmund, Stadt";"913"
"05914";"Hagen, Stadt";"914"
"05915";"Hamm, Stadt";"915"
"05916";"Herne, Stadt";"916"
"05954";"Ennepe-Ruhr-Kreis";"954"
"05958";"Hochsauerlandkreis";"958"
"05962";"Märkischer Kreis";"962"
"05966";"Olpe";"966"
"05970";"Siegen-Wittgenstein";"970"
"05974";"Soest";"974"
"05978";"Unna";"978"
"06411";"Darmstadt, Stadt";"411"
"06412";"Frankfurt am Main, Stadt";"412"
"06413";"Offenbach am Main, Stadt";"413"
"06414";"Wiesbaden, Landeshauptstadt";"414"
"06431";"Bergstraße";"431"
"06432";"Darmstadt-Dieburg";"432"
"06433";"Groß-Gerau";"433"
"06434";"Hochtaunuskreis";"434"
"06435";"Main-Kinzig-Kreis";"435"
"06436";"Main-Taunus-Kreis";"436"
"06437";"Odenwaldkreis";"437"
"06438";"Offenbach";"438"
"06439";"Rheingau-Taunus-Kreis";"439"
"06440";"Wetteraukreis";"440"
"06531";"Gießen";"531"
"06532";"Lahn-Dill-Kreis";"532"
"06533";"Limburg-Weilburg";"533"
"06534";"Marburg-Biedenkopf";"534"
"06535";"Vogelsbergkreis";"535"
"06611";"Kassel, Stadt";"611"
"06631";"Fulda";"631"
"06632";"Hersfeld-Rotenburg";"632"
"06633";"Kassel";"633"
"06634";"Schwalm-Eder-Kreis";"634"
"06635";"Waldeck-Frankenberg";"635"
"06636";"Werra-Meißner-Kreis";"636"
"07111";"Koblenz, Stadt";"111"
"07131";"Ahrweiler";"131"
"07132";"Altenkirchen (Westerwald)";"132"
"07133";"Bad Kreuznach";"133"
"07134";"Birkenfeld";"134"
"07135";"Cochem-Zell";"135"
"07137";"Mayen-Koblenz";"137"
"07138";"Neuwied";"138"
"07140";"Rhein-Hunsrück-Kreis";"140"
"07141";"Rhein-Lahn-Kreis";"141"
"07143";"Westerwaldkreis";"143"
"07211";"Trier, Stadt";"211"
"07231";"Bernkastel-Wittlich";"231"
"07232";"Eifelkreis Bitburg-Prüm";"232"
"07233";"Vulkaneifel";"233"
"07235";"Trier-Saarburg";"235"
"07311";"Frankenthal (Pfalz), Stadt";"311"
"07312";"Kaiserslautern, Stadt";"312"
"07313";"Landau i.d. Pfalz, Stadt";"313"
"07314";"Ludwigshafen a. Rhein, Stadt";"314"
"07315";"Mainz, Landeshauptstadt";"315"
"07316";"Neustadt a.d. Weinstraße, Stadt";"316"
"07317";"Pirmasens, Stadt";"317"
"07318";"Speyer, Stadt";"318"
"07319";"Worms, Stadt";"319"
"07320";"Zweibrücken, Stadt";"320"
"07331";"Alzey-Worms";"331"
"07332";"Bad Dürkheim";"332"
"07333";"Donnersbergkreis";"333"
"07334";"Germersheim";"334"
"07335";"Kaiserslautern";"335"
"07336";"Kusel";"336"
"07337";"Südliche Weinstraße";"337"
"07338";"Rhein-Pfalz-Kreis";"338"
"07339";"Mainz-Bingen";"339"
"07340";"Südwestpfalz";"340"
"08111";"Stuttgart, Landeshauptstadt";"111"
"08115";"Böblingen";"115"
"08116";"Esslingen";"116"
"08117";"Göppingen";"117"
"08118";"Ludwigsburg";"118"
"08119";"Rems-Murr-Kreis";"119"
"08121";"Heilbronn, Stadt";"121"
"08125";"Heilbronn";"125"
"08126";"Hohenlohekreis";"126"
"08127";"Schwäbisch Hall";"127"
"08128";"Main-Tauber-Kreis";"128"
"08135";"Heidenheim";"135"
"08136";"Ostalbkreis";"136"
"08211";"Baden-Baden, Stadt";"211"
"08212";"Karlsruhe, Stadt";"212"
"08215";"Karlsruhe";"215"
"08216";"Rastatt";"216"
"08221";"Heidelberg, Stadt";"221"
"08222";"Mannheim, Stadt";"222"
"08225";"Neckar-Odenwald-Kreis";"225"
"08226";"Rhein-Neckar-Kreis";"226"
"08231";"Pforzheim, Stadt";"231"
"08235";"Calw";"235"
"08236";"Enzkreis";"236"
"08237";"Freudenstadt";"237"
"08311";"Freiburg im Breisgau, Stadt";"311"
"08315";"Breisgau-Hochschwarzwald";"315"
"08316";"Emmendingen";"316"
"08317";"Ortenaukreis";"317"
"08325";"Rottweil";"325"
"08326";"Schwarzwald-Baar-Kreis";"326"
"08327";"Tuttlingen";"327"
"08335";"Konstanz";"335"
