id;bezeichnung;;;
0011;U Kassel in Kassel (ohne Kunsthochschule);;;
0012;U Kassel in Witzenhausen;;;
0013;U Kassel in Kassel (Kunsthochschule);;;
0014;U Kassel in Kassel (International Management School);;;
0020;APOLLON Hochschule der Gesundheitswirtschaft, Bremen (Priv. FH);;;
0030;Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus München (Priv. FH);;;
0032;Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Berlin (Priv. FH);;;
0033;Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Hamburg (Priv. FH);;;
0034;Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Köln (Priv. FH);;;
0035;Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Stuttgart (Priv. FH);;;
0036;Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Freiburg i. Br. (Priv. FH);;;
0037;Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Leipzig (Priv. FH);;;
0040;FH der Diakonie - Diaconia - University of Applied Science Bielefeld-Bethel;;;
0050;German Graduate School of Management & Law, Heilbronn (Priv. FH);;;
0060;Hochschule der Bundesagentur für Arbeit in Mannheim (FH);;;
0061;Hochschule der Bundesagentur für Arbeit in Schwerin (FH);;;
0080;U Duisburg-Essen in Essen;;;
0082;U Duisburg-Essen in Duisburg;;;
00121;U Paderborn;;;
0130;U Siegen;;;
0140;U Wuppertal;;;
0150;Fernuniversität Hagen;;;
0160;EBC Euro Business College Hamburg Campus Berlin (Priv. FH) ;;;
0170;Touro College Berlin (Priv. FH);;;
0180;Charité – Universitätsmedizin Berlin;;;
0190;Europa-U Viadrina Frankfurt/Oder;;;
0200;Humboldt-Universität Berlin;;;
0260;U Rostock;;;
0270;U Greifswald;;;
0301;U Halle in Halle;;;
0302;U Halle in Merseburg;;;
0310;U Magdeburg;;;
0360;U Leipzig ;;;
0370;TU Dresden in Dresden;;;
0372;TU Dresden in Tharandt;;;
0373;TU Dresden in Zittau (IHI);;;
0380;TU Chemnitz;;;
0390;TU Bergakademie Freiberg;;;
0490;U Jena;;;
0500;U Bamberg;;;
0510;U Bayreuth;;;
0520;U Oldenburg;;;
0530;U Osnabrück;;;
0540;U Passau;;;
0551;Kath. U Eichstätt-Ingolstadt in Eichstätt;;;
0552;Kath. U Eichstätt-Ingolstadt in Ingolstadt;;;
0560;Augustana-H (ev) Neuendettelsau (ehem. GH Neuendettelsau);;;
0580;Bauhaus-Universität Weimar;;;
0590;TU Ilmenau;;;
0620;U Erfurt;;;
0630;HHL Leipzig Graduate School of Management (Priv. H);;;
0660;Jacobs University Bremen (Priv. wiss. H);;;
0670;European School of Management and Technology, Berlin (Priv. H);;;
0680;Hertie School of Governance Berlin (Priv. wiss. H) ;;;
0690;Hafencity Universität, Hamburg;;;
0700;bbw Hochschule Berlin (Priv. FH);;;
0710;Hochschule für Kirchenmusik der Evang. Kirche von Westfalen, Herford;;;
0720;Internationale Hochschule SDI München - Hochschule für angewandte Wissenschaften (Priv. FH);;;
0730;SRH Fachhochschule für Gesundheit Gera (Priv. FH);;;
0740;Norddeutsche Hochschule für Rechtspflege, Hildesheim (FH);;;
0750;Hannover, Kommunale H für Verwaltung in Niedersachsen (Priv. VerwFH);;;
0760;IB Hochschule für Gesundheit und Soziales Berlin in Berlin (Priv. FH);;;
0761;IB Hochschule für Gesundheit und Soziales Berlin in Stuttgart (Priv. FH);;;
0762;IB Hochschule für Gesundheit und Soziales Berlin in München (Priv. FH);;;
0763;IB Hochschule für Gesundheit und Soziales Berlin in Hamburg (Priv. FH);;;
0764;IB Hochschule für Gesundheit und Soziales Berlin in Köln (Priv. FH);;;
0790;Akkon HS Berlin (Priv. FH);;;
0800;Helmut-Schmidt-Universität Hamburg;;;
0811;U der Bundeswehr München (FB Universitätsstudiengänge);;;
0812;U der Bundeswehr München (FB Fachhochschulstudiengänge);;;
0821;Deutsche Hochschule für Gesundheit und Sport Berlin in Berlin (Priv. FH);;;
0822;Deutsche Hochschule für Gesundheit und Sport Berlin in Ismaning (Priv. FH);;;
0823;Deutsche Hochschule für Gesundheit und Sport Berlin in Unna (Priv. FH);;;
0830;(Design Akademie Berlin, SRH H für Kommunikation und Design (Priv. FH)) eingegliedert in 7971;;;
0860;Deutsche H für Prävention und Gesundheitsmanagement Saarbrücken (Priv. FH);;;
0880;EBC Euro Business College Hamburg Campus Hamburg (Priv. FH) ;;;
0910;Deutsche Hochschule der Polizei, Münster (U);;;
0930;EBZ Business School, Bochum (Priv. FH) ;;;
0940;Freie Theologische H (FTH) Gießen (Priv.);;;
0960;U Vechta;;;
0980;U Hildesheim;;;
0990;U Lüneburg;;;
1000;U Kiel;;;
1010;U Lübeck;;;
1020;U Hamburg ;;;
1030;U Göttingen;;;
1040;TU Hamburg;;;
1050;U Bremen;;;
1060;Bucerius Law School, Hamburg;;;
1080;U Bochum;;;
1090;U Bonn;;;
1100;U Düsseldorf;;;
1110;U Köln ;;;
1120;U Münster;;;
1130;Technische Universität Dortmund;;;
1140;U Bielefeld;;;
1150;Deutsche Sporthochschule Köln;;;
1160;U Frankfurt a.M.;;;
1170;U Gießen;;;
1180;U Marburg;;;
1190;Priv. wiss. H für Unternehmensführung Vallendar;;;
1200;U Trier;;;
1210;Technische U Kaiserslautern;;;
1221;U Mainz in Mainz;;;
1222;U Mainz in Germersheim;;;
1230;Deutsche Universität für Verwaltungswissenschaften Speyer;;;
1240;U Freiburg i.Br.;;;
1250;U Heidelberg in Heidelberg;;;
1252;U Heidelberg in Mannheim;;;
1260;U Konstanz;;;
1270;U Tübingen;;;
1280;Priv. wiss. H Bierbronnen;;;
1291;U Koblenz - Landau in Koblenz;;;
1292;U Koblenz - Landau in Landau;;;
1311;U Erlangen - Nürnberg in Erlangen;;;
1312;U Erlangen - Nürnberg in Nürnberg (ehem. U Erlangen-Nürnberg 1310);;;
1322;U München in München;;;
1323;U München im Landkreis München;;;
1330;U Würzburg;;;
1340;U Regensburg;;;
1350;U Augsburg;;;
1360;U des Saarlandes Saarbrücken;;;
1380;FU Berlin;;;
1410;Allensbach Hochschule Konstanz (Priv. FH);;;
1430;TU Braunschweig;;;
1440;TU Clausthal;;;
1450;U Hannover;;;
1460;Zeppelin Universität Friedrichshafen (Priv. H);;;
1470;DIU Dresden International University (Priv. H);;;
1480;TH Aachen ;;;
1490;Universität Witten Herdecke (Priv. H);;;
1500;Hochschule für Finanzwirtschaft & Management Bonn (Priv. FH);;;
1510;CVJM-Hochschule Kassel (Priv. FH);;;
1520;International Psychoanalytic University Berlin (Priv.);;;
1530;TU Darmstadt;;;
1541;EBS U für Wirtschaft und Recht in Oestrich-Winkel (Priv.);;;
1542;EBS U für Wirtschaft und Recht in Wiesbaden (Priv.);;;
1550;Evangelische Hochschule Tabor in Marburg;;;
1561;HS für Medien, Kommunikation und Wirtschaft Berlin in Berlin (Priv. FH);;;
1562;HS für Medien, Kommunikation und Wirtschaft Berlin in Köln (Priv. FH);;;
1563;HS für Medien, Kommunikation und Wirtschaft Berlin in Frankfurt (Priv. FH) ;;;
1570;FH für Sport und Management, Potsdam (Priv. FH);;;
1580;Karlsruher Institut für Technologie (KIT) - Bereich Hochschule;;;
1590;U Stuttgart;;;
1600;Quadriga Hochschule Berlin (Priv. FH);;;
1610;DEKRA Hochschule für Medien Berlin (Priv. FH);;;
1631;TU München in München ;;;
1632;TU München in Weihenstephan ;;;
1633;TU München in Garching;;;
1634;TU München in Straubing;;;
1635;TU München in Heilbronn;;;
1660;EBC Euro Business College Hamburg Campus Düsseldorf (Priv. FH) ;;;
1680;CBS International Business School in Köln (Priv. FH);;;
1681;CBS International Business School in Mainz (Priv. FH);;;
1690;TU Berlin;;;
1700;ESCP Europe Wirtschaftshochschule Berlin (Priv. H);;;
1710;H für Politik München;;;
1730;Medizinische H Hannover;;;
1740;Tierärztliche H Hannover;;;
1751;(SRH Hochschule der populären Künste Berlin (Priv. FH)) eingegliedert in 7971;;;
1760;BSP Business and Law School - Hochschule für Management und Recht Berlin in Berlin (Priv. FH);;;
1761;BSP Business and Law School - Hochschule für Management und Recht Berlin in Hamburg (Priv. FH);;;
1770;Hochschule für Gesundheit (FH) Bochum;;;
1780;Hochschule Weserbergland (HSW), Hameln (Priv. FH);;;
1790;Internationale Hochschule Bad Honnef-Bonn in Bremen (Priv. FH) ;;;
1800;U Hohenheim;;;
1810;U Mannheim;;;
1820;U Ulm;;;
1830;Freie Hochschule Stuttgart, Seminar für Waldorfpädagogik;;;
1840;Psychologische Hochschule Berlin (Priv. U);;;
1850;Fachhochschule Dresden (Priv. FH);;;
1870;Brand University Hamburg (Priv. FH);;;
1880;MSH Medical School Hamburg (Priv. FH);;;
1890;Bard College Berlin, A Liberal Arts University (Priv. H);;;
1900;(German open Business School HS für Wirtschaft und Verwaltung, Berlin (Priv. FH)) aufgelöst;;;
1910;Leibniz - Fachhochschule Hannover (Priv. FH);;;
1921;VICTORIA - Internationale Hochschule Berlin in Berlin (Priv. FH);;;
1922;VICTORIA - Internationale Hochschule Berlin in Baden-Baden (Priv. FH);;;
1940;Internationale Hochschule Liebenzell (Evang. FH);;;
1950;Fliedner Fachhochschule Düsseldorf (Priv. FH);;;
1960;Kühne Logistics University - The KLU, Hamburg (Priv. H);;;
1970;Hochschule der Wirtschaft für Management (HdWM) Mannheim (Priv. FH);;;
1990;Medical School Berlin H für Gesundheit und Medizin (Priv. FH);;;
2000;Theol. Fakultät (rk) Fulda;;;
2020;Phil.-Theol. H (rk) Frankfurt a.M.;;;
2030;Theol. Fakultät (rk) Paderborn;;;
2040;Theol. Fakultät Trier;;;
2050;Theol. H Vallendar;;;
2060;Kölner Hochschule für Katholische Theologie (KHKT) - St. Augustin (Kirchl.-Theol. H);;;
2080;Phil.-Theol. H (rk) Münster;;;
2100;SRH Wilhelm Löhe Hochschule Fürth (Priv. FH);;;
2150;Hochschule Fresenius Heidelberg (Priv. FH);;;
2170;H für Philosophie (rk) München;;;
2200;Hochschule Geisenheim University (FH);;;
2211;HDBW Hochschule der Bayerischen Wirtschaft für angewandte Wissenschaften in München (Priv. FH);;;
