id;bezeichnung;Inaktiv
001;Ägyptologie;0
002;Afrikanistik;0
003;Agrarwissenschaft/Landwirtschaft;0
004;Interdisziplinäre Studien (Schwerpunkt Geisteswissenschaften);0
005;Klassische Philologie;0
006;Amerikanistik/Amerikakunde;0
007;Angewandte Kunst;0
008;Anglistik/Englisch;0
009;Anthropologie (Humanbiologie);0
010;Arabisch/Arabistik;0
011;Arbeitslehre/Wirtschaftslehre;0
012;Archäologie;0
013;Architektur;0
014;Astrophysik und Astronomie;0
015;Außereuropäische Sprachen und Kulturen in Ozeanien und Amerika;0
016;Baltistik;0
017;Bauingenieurwesen/Ingenieurbau;0
018;Berufsbezogene Fremdsprachenausbildung;0
019;Orientierungsstudium MINT;1
020;Bergbau/Bergtechnik;0
021;Betriebswirtschaftslehre;0
022;Informations- und Bibliothekswissenschaften (nicht für Verwaltungsfachhochschulen);0
023;Bildende Kunst/Graphik;0
024;Europäische Ethnologie und Kulturwissenschaft;0
025;Biochemie;0
026;Biologie;0
027;Blinden-/Sehbehindertenpädagogik;1
028;Brauwesen/Getränketechnologie;0
029;Sportwissenschaft;0
030;Interdisziplinäre Studien (Schwerpunkt Rechts-Wirtschafts- und Sozialwissenschaften);0
031;Byzantinistik;0
032;Chemie;0
033;Chemie-Ingenieurwesen/Chemieverfahrenstechnik;0
034;Dänisch;0
035;Darstellende Kunst/Bühnenkunst/Regie;0
036;Sonstige Regionalwissenschaften;0
037;Archiv- und Dokumentationswissenschaft;0
038;Lateinamerika-Studien;0
039;Geowissenschaften allgemein;0
040;Interdisziplinäre Studien (Schwerpunkt Kunst Kunstwissenschaft);0
041;Sonstiges Orientierungsstudium;0
042;Wirtschaftsrecht;0
043;Neugriechisch;0
044;Ost- und Südosteuropa-Studien;0
048;Elektrotechnik/Elektronik;0
049;Interdisziplinäre Studien (Schwerpunkt Naturwissenschaften);0
050;Geographie/Erdkunde;0
051;Erziehungsschwierigenpädagogik ;1
052;Erziehungswissenschaft (Pädagogik);0
053;Evang. Theologie - Religionslehre;0
054;Film und Fernsehen;0
055;Orientierungsstudium Gesellschaftswissenschaften;0
056;Finno-Ugristik;0
057;Luft- und Raumfahrttechnik;0
058;Forstwissenschaft -wirtschaft;0
059;Französisch;0
060;Gartenbau;0
061;Meliorationswesen;0
062;Gehörlosen-/Schwerhörigenpädagogik;1
063;Geistigbehindertenpädagogik/Praktisch-Bildbaren-Pädagogik;1
064;Naturschutz;0
065;Geologie/Paläontologie;0
066;Geophysik;0
067;Germanistik/Deutsch;0
068;Geschichte;0
069;Graphikdesign/Kommunikationsgestaltung;0
070;Griechisch;0
071;Haushalts- und Ernährungswissenschaft;0
072;Interdisziplinäre Studien (Schwerpunkt Ingenieurwissenschaften);0
073;Judaistik/Hebräisch;0
074;Transport-/Fördertechnik;0
075;Holzwirtschaft;0
076;Hütten- und Gießereiwesen;0
077;Wasserwirtschaft;0
078;Indologie;0
079;Informatik;0
080;Instrumentalmusik;0
081;Iranistik;0
082;Holz-/Fasertechnik;0
083;Islamwissenschaft;0
084;Italienisch;0
085;Japanologie;0
086;Kath. Theologie - Religionslehre;0
087;Körperbehindertenpädagogik;1
088;Optoelektronik;0
089;Verkehrsingenieurwesen;0
090;Lernbereich Geisteswissenschaften;0
091;Kunsterziehung;0
092;Kunstgeschichte Kunstwissenschaft;0
093;Landespflege/Landschaftsgestaltung;0
094;Wasserbau;0
095;Latein;0
096;Lebensmittelchemie;0
097;Lebensmitteltechnologie;0
098;Sportpädagogik/Sportpsychologie;0
099;Lernbehindertenpädagogik;1
101;Restaurierungskunde;0
102;Schauspiel;0
103;Markscheidewesen;0
104;Maschinenbau/-wesen;0
105;Mathematik;0
106;Tanzpädagogik;0
107;Medizin (Allgemein-Medizin);0
108;Metalltechnik;0
109;Publizistik;1
110;Meteorologie;0
111;Mineralogie;0
113;Musikerziehung;0
114;Musikwissenschaft/-geschichte;0
115;Grundschul-/Primarstufenpädagogik;0
116;Textilgestaltung;0
117;Ausländerpädagogik;0
118;Technomathematik;0
119;Niederländisch;0
120;Nordistik/Skandinavistik (Nordische Philologie Einzelsprachen a.n.g.);0
