"id";"bezeichnung"
"02";"Magister"
"03";"Lizentiat"
"04";"Kirchliche Prüfung"
"05";"Akad. geprüfter Übersetzer"
"06";"Promotion (Abschlussprüfung vorausgesetzt)"
"07";"Promotion ohne vorausgesetzte Abschlussprüfung"
"08";"Staatsexamen / 1. Staatsprüfung"
"09";"Staatsexamen (einphasige Ausbildung)"
"10";"Fakultätsprüfung"
"11";"Diplom (U)"
"12";"Diplom (U) - Dolmetscher"
"13";"Diplom (U) - Übersetzer"
"14";"Diplom I (U-GH)"
"17";"Abschlussprüfung ohne akad. Grad"
"18";"Diplom (U) - Lehrer"
"20";"LA Grund- und Hauptschulen"
"21";"LA Grundschulen"
"22";"LA Hauptschulen"
"23";"LA Realschulen"
"24";"LA Haupt- und Realschulen / Unterstufe und Mittelstufe Gymnasien"
"25";"LA Gymnasien"
"26";"LA Sonderschulen"
"27";"LA Berufliche Schulen"
"28";"LA Sekundarstufe I / Primarstufe"
"29";"Sonstige Staatsprüfungen nach Schularten / Schulstufen"
"30";"LA Master"
"31";"LA Bachelor"
"40";"LA Grundschulen / Sekundarstufe I"
"41";"LA Sekundarstufe II / Sekundarstufe I"
"42";"LA Grundstufe / Primarstufe"
"43";"LA Mittelstufe / Sekundarstufe I"
"44";"LA Oberstufe / Sekundarstufe II, allgemeinbildende Schulen"
"45";"LA Oberstufe / Sekundarstufe II, berufliche Schulen"
"51";"Diplom (FH)"
"53";"Diplom (FH) - Dolmetscher"
"54";"Diplom (FH) - Übersetzer"
"56";"Staatl. Laufbahnprüfung (VerwFH)"
"59";"Sonstiger FH - Abschluss"
"70";"Staatl. Prüfung für künstlerische Abschlüsse"
"71";"Bühnen- / Konzert- / Opernreifeprüfung"
"72";"Privatmusiklehrerprüfung"
"73";"Kirchenmusikprüfung A"
"74";"Kirchenmusikprüfung B"
"75";"Diplom (KH)"
"76";"Meisterschüler"
"77";"Kunstpädagogische Prüfung"
"79";"Solistenprüfung "
"80";"Sonstiger künstlerischer Abschluss"
"81";"Akademiebrief (KH)"
"82";"Bachelor an Universitäten"
"83";"Bachelor an Kunsthochschulen"
"84";"Bachelor an Fachhochschulen"
"85";"Master an Universitäten (ohne vorausgesetzte Abschlussprüfung)"
"86";"Master an Kunsthochschulen (ohne vorausgesetzte Abschlussprüfung)"
"87";"Master an Fachhochschulen (ohne vorausgesetzte Abschlussprüfung)"
"88";"Master an Universitäten (Abschlussprüfung vorausgesetzt)"
"89";"Master an Kunsthochschulen (Abschlussprüfung vorausgesetzt)"
"90";"Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)"
"94";"Sonstiges Abschlusszeugnis / Zertifikat"
"95";"Sonstiger Abschluss in Deutschland"
"96";"Abschlussprüfung im Ausland"
"97";"Kein Abschluss"
