id;bezeichnung;;;;
000;Deutschland;;;;
112;Gibraltar (Britisches Überseegebiet);;;;
113;Guernsey (Britisches Überseegebiet);;;;
114;Jersey (Britisches Überseegebiet);;;;
115;Insel Man (Britisches Überseegebiet);;;;
116;Svalbard und Jan Mayen (u. a. Bäreninsel, Spitzbergen) (Norwegisches Überseegebiet);;;;
121;Albanien;;;;
122;Bosnien und Herzegowina;;;;
123;Andorra;;;;
124;Belgien;;;;
125;Bulgarien;;;;
126;Dänemark;;;;
127;Estland;;;;
128;Finnland;;;;
129;Frankreich, einschl. Korsika;;;;
130;Kroatien;;;;
131;Slowenien;;;;
134;Griechenland;;;;
135;Irland;;;;
136;Island;;;;
137;Italien;;;;
139;Lettland;;;;
140;Montenegro;;;;
141;Liechtenstein;;;;
142;Litauen;;;;
143;Luxemburg;;;;
144;Nordmazedonien;;;;
145;Malta;;;;
146;Republik Moldau (Moldawien);;;;
147;Monaco;;;;
148;Niederlande;;;;
149;Norwegen;;;;
150;Kosovo;;;;
151;Österreich;;;;
152;Polen;;;;
153;Portugal;;;;
154;Rumänien;;;;
155;Slowakei;;;;
156;San Marino;;;;
157;Schweden;;;;
158;Schweiz;;;;
160;Russische Föderation;;;;
161;Spanien;;;;
163;Türkei;;;;
164;Tschechien;;;;
165;Ungarn;;;;
166;Ukraine;;;;
167;Vatikanstadt;;;;
168;Vereinigtes Königreich (Großbritannien und Nordirland);;;;
169;Weißrussland (Belarus);;;;
170;Serbien;;;;
181;Zypern;;;;
182;Färöer (Dänisches Überseegebiet);;;;
185;Britisches Überseegebiet außerhalb Europas;;;;
211;Mayotte (Französisches Überseegebiet);;;;
214;Réunion (Französisches Überseegebiet);;;;
216;Spanische Hoheitsplätze in Nordafrika (Spanisches Überseegebiet);;;;
221;Algerien;;;;
223;Angola;;;;
224;Eritrea;;;;
225;Äthiopien;;;;
226;Lesotho;;;;
227;Botsuana;;;;
229;Benin;;;;
230;Dschibuti;;;;
231;Côte d`Ivoire;;;;
232;Nigeria;;;;
233;Simbabwe;;;;
236;Gabun;;;;
237;Gambia;;;;
238;Ghana;;;;
239;Mauretanien;;;;
242;Cabo Verde;;;;
243;Kenia;;;;
244;Komoren;;;;
245;Kongo, Republik;;;;
246;Kongo, Dem. Republik;;;;
247;Liberia;;;;
248;Libyen;;;;
249;Madagaskar;;;;
251;Mali;;;;
252;Marokko;;;;
253;Mauritius;;;;
254;Mosambik;;;;
255;Niger;;;;
256;Malawi;;;;
257;Sambia;;;;
258;Burkina Faso;;;;
259;Guinea-Bissau;;;;
261;Guinea;;;;
262;Kamerun;;;;
263;Südafrika;;;;
265;Ruanda;;;;
267;Namibia;;;;
268;São Tomé und Príncipe;;;;
269;Senegal;;;;
271;Seychellen;;;;
272;Sierra Leone;;;;
273;Somalia;;;;
274;Äquatorialguinea;;;;
277;Sudan;;;;
278;Südsudan;;;;
281;Eswatini (früher Swasiland);;;;
282;Vereinigte Republik Tansania;;;;
283;Togo;;;;
284;Tschad;;;;
285;Tunesien;;;;
286;Uganda;;;;
287;Ägypten;;;;
289;Zentralafrikanische Republik;;;;
291;Burundi;;;;
311;Aruba (Niederländisches Überseegebiet);;;;
315;Französisch-Guayana (Französisches Überseegebiet);;;;
316;Amerikanische Jungferninseln (US-Überseegebiet);;;;
317;Guadeloupe (Französisches Überseegebiet);;;;
319;Martinique (Französisches Überseegebiet);;;;
320;Antigua und Barbuda;;;;
321;Curaçao (Niederländisches Überseegebiet);;;;
322;Barbados;;;;
323;Argentinien;;;;
324;Bahamas;;;;
325;Puerto Rico (US-Überseegebiet);;;;
326;Bolivien;;;;
327;Brasilien;;;;
328;Guyana;;;;
329;St. Barthélemy (Französisches Überseegebiet);;;;
330;Belize;;;;
331;St. Martin (Französisches Überseegebiet);;;;
332;Chile;;;;
333;Dominica;;;;
334;Costa Rica;;;;
335;Dominikanische Republik;;;;
336;Ecuador, einschl. Galapagos-Inseln;;;;
337;El Salvador;;;;
338;St. Pierre und Miquelon (Französisches Überseegebiet);;;;
340;Grenada;;;;
341;St. Martin (niederländischer Teil) (Niederländisches Überseegebiet);;;;
342;Grönland (Dänisches Überseegebiet);;;;
343;Navassa (US-Überseegebiet);;;;
344;Bonaire, Saba, St. Eustatius (Niederländisches Überseegebiet);;;;
345;Guatemala;;;;
346;Haiti;;;;
347;Honduras;;;;
348;Kanada;;;;
349;Kolumbien;;;;
351;Kuba;;;;
352;Clipperton (Französisches Überseegebiet);;;;
353;Mexiko;;;;
354;Nicaragua;;;;
355;Jamaika;;;;
357;Panama;;;;
359;Paraguay;;;;
361;Peru;;;;
364;Suriname;;;;
365;Uruguay;;;;
366;St. Lucia;;;;
367;Venezuela;;;;
368;Vereinigte Staaten (von Amerika), auch USA;;;;
369;St. Vincent und die Grenadinen;;;;
370;St. Kitts und Nevis;;;;
371;Trinidad und Tobago;;;;
411;Hongkong;;;;
412;Macau;;;;
421;Jemen;;;;
422;Armenien;;;;
423;Afghanistan;;;;
424;Bahrain;;;;
425;Aserbaidschan;;;;
426;Bhutan;;;;
427;Myanmar;;;;
429;Brunei Darussalam;;;;
430;Georgien;;;;
431;Sri Lanka;;;;
432;Vietnam;;;;
434;Dem. Volksrepublik Korea;;;;
436;Indien, einschl. Sikkim und Gôa;;;;
437;Indonesien, einschl. Irian Jaya;;;;
438;Irak;;;;
439;Iran, Islamische Republik;;;;
441;Israel;;;;
442;Japan;;;;
444;Kasachstan;;;;
445;Jordanien;;;;
446;Kambodscha;;;;
447;Katar;;;;
448;Kuwait;;;;
449;Dem. Volksrepublik Laos;;;;
450;Kirgisistan;;;;
451;Libanon;;;;
454;Malediven;;;;
456;Oman;;;;
457;Mongolei;;;;
458;Nepal;;;;
459;Palästinensische Gebiete;;;;
460;Bangladesch;;;;
461;Pakistan;;;;
462;Philippinen;;;;
465;Taiwan;;;;
467;Republik Korea, auch Süd-Korea;;;;
469;Vereinigte Arabische Emirate;;;;
470;Tadschikistan;;;;
471;Turkmenistan;;;;
472;Saudi-Arabien;;;;
474;Singapur;;;;
475;Arabische Republik Syrien;;;;
476;Thailand;;;;
477;Usbekistan;;;;
479;China;;;;
482;Malaysia;;;;
483;Timor-Leste;;;;
499;Übriges Asien;;;;
510;Heard und McDonaldinseln (Australisches Überseegebiet);;;;
511;Korallenmeerinseln (Australisches Überseegebiet);;;;
512;Kokosinseln (Australisches Überseegebiet);;;;
513;Neukaledonien (Französisches Überseegebiet);;;;
514;Nördliche Marianen (US-Überseegebiet);;;;
515;Norfolkinseln (Australisches Überseegebiet);;;;
517;Amerikanisch-Samoa (US-Überseegebiet);;;;
519;Tokelau (Neuseeländisches Überseegebiet);;;;
520;Wallis und Futuna (Französisches Überseegebiet);;;;
521;Weihnachtsinseln (Australisches Überseegebiet);;;;
522;Bouvetinsel (Norwegisches Überseegebiet);;;;
523;Australien;;;;
524;Salomonen;;;;
525;Ashmore- und Cartierinseln (Australisches Überseegebiet);;;;
526;Fidschi;;;;
527;Cookinseln;;;;
528;Französisch-Polynesien (Französisches Überseegebiet);;;;
529;Guam (US-Überseegebiet);;;;
530;Kiribati;;;;
531;Nauru;;;;
532;Vánúatú;;;;
533;Niue;;;;
534;Kleinere Amerikanische Überseeinseln (US-Überseegebiet);;;;
535;Norwegisches Antarktis-Territorium (Norwegisches Überseegebiet);;;;
536;Neuseeland;;;;
537;Palau;;;;
538;Papua-Neuguinea;;;;
540;Tuvalu;;;;
541;Tonga;;;;
542;Französische Süd- und Antarktisgebiete (Französisches Überseegebiet);;;;
543;Samoa;;;;
544;Marschallinseln;;;;
545;Föderierte Staaten von Mikronesien;;;;
546;Chilenische Antarktis (Chilenisches Überseegebiet);;;;
