id;bezeichnung
03;Gymnasium (aHR)
06;Gesamtschule (aHR)
17;Erwerb der HZB an einer deutschen Schule im Ausland (aHR)
18;Fachgymnasium (aHR)
21;Berufsoberschule, Fachakademie (aHR)
27;Abendgymnasium/Kolleg (aHR)
28;Fachoberschule (aHR)
31;Studienkolleg (aHR)
33;Begabten-/Eignungsprüfung (aHR)
34;Beruflich Qualifizierte (aHR)
37;Sonstige Studienberechtigung (aHR)
39;Sonstiger Erwerb der HZB im Ausland (aHR)
43;Fachgymnasium (fgHR)
44;Berufsoberschule, Fachakademie (fgHR)
47;Erwerb der HZB an einer deutschen Schule im Ausland (fgHR)
48;Fachoberschule (fgHR)
51;Studienkolleg (fgHR)
52;Begabten-/Eignungsprüfung (fgHR)
53;Beruflich Qualifizierte (fgHR)
55;Sonstige Studienberechtigung (fgHR)
59;Sonstiger Erwerb der HZB im Ausland (fgHR)
60;Gymnasium (FHR)
62;Gesamtschule (FHR)
64;Fachgymnasium (FHR)
65;Berufsoberschule, Fachakademie (FHR)
66;Fachoberschule (FHR)
67;Erwerb der HZB an einer deutschen Schule im Ausland (FHR)
70;Abendgymnasium/Kolleg (FHR)
71;Beruflich Qualifizierte (FHR)
72;Berufsfachschule (FHR)
73;Fachschule (FHR)
76;Studienkolleg (FHR)
77;Begabten-/Eignungsprüfung (FHR)
78;Sonstige Studienberechtigung (FHR)
79;Sonstiger Erwerb der HZB im Ausland (FHR)
