"id";"name";"strasse";"plz";"ort"
"1";"Berufliche Schule Ahrensburg (Kreis Stormarn)";"Hermann-Löns-Str. 38";"22926";"Ahrensburg"
"2";"Stormarnschule (Gymnasium)";"Waldstr. 14";"22926";"Ahrensburg"
"3";"Jürgen-Fuhlendorf-Schule";"Düsternhoop 48";"24576";"Bad Bramstedt"
"4";"Leibniz Privatschule";"Weddelbrooker Damm 45";"24576";"Bad Bramstedt"
"5";"Modellschule Obersberg";NULL;"36251";"Bad Hersfeld"
"6";"Gymnasium Bad Iburg";NULL;"49186";"Bad Iburg"
"7";"Ida-Ehre-Schule Bad Oldesloe";NULL;"23843";"Bad Oldesloe"
"8";"Theodor-Mommsen-Schule";"Hamburger Straße 42";"23843";"Bad Oldesloe"
"9";"Leibniz-Gymnasium";"Lübecker Str. 75";"23611";"Bad Schwartau"
"10";"Gymnasium am Mühlenberg";NULL;"23611";"Bad Schwartau"
"11";"BBZ Bad Segeberg";"Theodor-Storm-Str. 9-11";"23795";"Bad Segeberg"
"12";"Dahlmannschule";"Am Markt 4";"23795";"Bad Segeberg"
"13";"Städtisches Gymnasium Bad Segeberg";"Hamburger Straße 29a";"23795";"Bad Segeberg"
"14";"Anne-Frank-Schule";"Emil-Nolde-Str. 9";"22941";"Bargteheide"
"15";"Kopernikus Gymnasium";"Am Schulzentrum 1";"22941";"Bargteheide"
"16";"Carl-Friedrich-von-Weizsäcker-Gymnasium";"Ede-Menzler-Weg 6";"25355";"Barmstedt"
"17";"Carl-von-Ossietzky-Gymnasium Berlin";NULL;"13187";"Berlin"
"18";"Nelson-Mandela-Schule Berlin";NULL;"10717";"Berlin"
"19";"Bundeswehrfachschule Berlin";NULL;"14089";"Berlin"
"20";"Alexander-von-Humboldt Gymnasium Berlin";"Oberspreestraße 173-181";"12555";"Berlin"
"21";"Schulzentrum Utbremen / Europaschule";"Meta-Sattler-Str. 33";"28217";"Bremen"
"22";"Alexander-von-Humboldt Gymnasium Bremen";"Delfter Str. 16";"28259 ";"Bremen"
"23";"Gymnasium Wesermünde";"Humboldtstr. 12 - 14";"27570";"Bremerhaven"
"24";"Carl-von-Ossietzky Bremerhaven";NULL;"27574";"Bremerhaven"
"25";"Geschwister Scholl Schulzentrum Bremerhaven";NULL;"27568";"Bremerhaven"
"26";"Gymnasium Bremervörde";"Tetjus-Tügel-Straße 9";"27432";"Bremervörde"
"27";"Johann-Heinrich-von-Thünen-Schule";NULL;"27432 ";"Bremervörde"
"28";"Gymnasium Brunsbüttel";NULL;"25541";"Brunsbüttel"
"29";"Albert-Einstein-Gymnasium Buchholz";NULL;"21244";"Buchholz i.d. Nordheide"
"30";"Gymnasium Großburgwedel";NULL;"30938";"Burgwedel"
"31";"Schule am Meer Büsum";NULL;"25761";"Büsum"
"32";"Gymnasium Buxtehude Süd";NULL;"21614";"Buxtehude"
"33";"BBS Buxtehude";"Konopkastraße 7";"21614";"Buxtehude"
"34";"Halepaghen-Schule";NULL;"21614";"Buxtehude"
"35";"Albrecht-Thaer-Schule BBS III";NULL;"29221";"Celle"
"36";"Schule Marienau (Internat)";;"21368";"Dahlem"
"37";"Berufliche Schule Elmshorn";"Langelohe 4";"25337";"Elmshorn"
"38";"Bismarckschule ";"Bismarckstraße 2";"25335";"Elmshorn"
"39";"Boje-C.-Steffen Gemeinschaftsschule";"Koppeldamm 50";"25335";"Elmshorn"
"40";"Elsa-Brändström-Schule";"Zum Krückaupark 7";"25337";"Elmshorn"
"41";"Erich Kästner Gemeinschaftsschule";"Hainholzer Damm 15";"25337";"Elmshorn"
"42";"Freie Waldorfschule Elmshorn";"Adenauerdamm 2";"25337";"Elmshorn"
"43";"Leibniz Privatschule";"Ramskamp 64b";"25337";"Elmshorn"
"44";"Auguste Viktoria Schule";"Südergraben 34";"24937";"Flensburg"
"45";"HLA - Flensburger Wirtschaftsschule";"Marienallee 5 ";"24937";"Flensburg"
"46";"Geschwister-Scholl-Gymnasium Freiberg";NULL;"09599";"Freiberg"
"47";"Geschwister Scholl Gymnasium Gardelegen";NULL;"39638";"Gardelegen"
"48";"Alfred-Nobel-Schule";NULL;"21502";"Geesthacht"
"49";"Otto-Hahn-Gymnasium Geesthacht";"Neuer Krug 5";"21502";"Geesthacht"
"50";"Gymnasium Hankensbüttel";;;"Gifhorn"
"51";"Gymnasium Glinde";NULL;"21509";"Glinde"
"52";"Detlefsengymnasium";"Dänenkamp 5";"25348";"Glückstadt"
"53";"Geschwister-Scholl-Gesamtschule Göttingen";NULL;"37079";"Göttingen"
"54";"Friedrich-Ludwig-Jahn-Gymnasium, Greifswald";NULL;"17489";"Greifswald"
"55";"Wolfgang-Borchert-Gymnasium";"Bickbargen 111";"25469";"Halstenbek"
"56";"Walddörfer Gymnasium";NULL;"22359";"Hamburg"
"57";"Goethe-Gymnasium";"Rispenweg 28";"22547";"Hamburg"
"58";"Friedrich-Ebert-Gymnasium 21075 Hamburg ";NULL;"21075";"Hamburg"
"59";"Hansa-Gymnasium Bergedorf";NULL;"21029";"Hamburg"
"60";"Gymnasium Alstertal, 22335 Hamburg";NULL;"22335";"Hamburg"
"61";"Gymnasium Bondenwald";NULL;"22453";"Hamburg"
